team_name,code,team_logo_file,team_logo_url
Atlanta United,ATL,ATL.svg,https://firebasestorage.googleapis.com/v0/b/season-ticket-tracker.appspot.com/o/modern%2FATL.svg?alt=media
Austin FC,ATX,ATX.svg,https://firebasestorage.googleapis.com/v0/b/season-ticket-tracker.appspot.com/o/modern%2FATX.svg?alt=media
CF Montreal,MTL,MTL.svg,https://firebasestorage.googleapis.com/v0/b/season-ticket-tracker.appspot.com/o/modern%2FMTL.svg?alt=media
Charlotte FC,CLT,CLT.svg,https://firebasestorage.googleapis.com/v0/b/season-ticket-tracker.appspot.com/o/modern%2FCLT.svg?alt=media
Chicago Fire,CHI,CHI.svg,https://firebasestorage.googleapis.com/v0/b/season-ticket-tracker.appspot.com/o/modern%2FCHI.svg?alt=media
Colorado Rapids,COL,COL.svg,https://firebasestorage.googleapis.com/v0/b/season-ticket-tracker.appspot.com/o/modern%2FCOL.svg?alt=media
Columbus Crew,CLB,CLB.svg,https://firebasestorage.googleapis.com/v0/b/season-ticket-tracker.appspot.com/o/modern%2FCLB.svg?alt=media
D.C. United,DC,DC.svg,https://firebasestorage.googleapis.com/v0/b/season-ticket-tracker.appspot.com/o/modern%2FDC.svg?alt=media
FC Cincinnati,CIN,CIN.svg,https://firebasestorage.googleapis.com/v0/b/season-ticket-tracker.appspot.com/o/modern%2FCIN.svg?alt=media
FC Dallas,DAL,DAL.svg,https://firebasestorage.googleapis.com/v0/b/season-ticket-tracker.appspot.com/o/modern%2FDAL.svg?alt=media
Houston Dynamo,HOU,HOU.svg,https://firebasestorage.googleapis.com/v0/b/season-ticket-tracker.appspot.com/o/modern%2FHOU.svg?alt=media
Inter Miami CF,MIA,MIA.svg,https://firebasestorage.googleapis.com/v0/b/season-ticket-tracker.appspot.com/o/modern%2FMIA.svg?alt=media
LA Galaxy,LA,LA.svg,https://firebasestorage.googleapis.com/v0/b/season-ticket-tracker.appspot.com/o/modern%2FLA.svg?alt=media
Los Angeles FC,LAF,LAFC.svg,https://firebasestorage.googleapis.com/v0/b/season-ticket-tracker.appspot.com/o/modern%2FLAFC.svg?alt=media
Minnesota United FC,MIN,MIN.svg,https://firebasestorage.googleapis.com/v0/b/season-ticket-tracker.appspot.com/o/modern%2FMIN.svg?alt=media
Nashville SC,NSH,NSH.svg,https://firebasestorage.googleapis.com/v0/b/season-ticket-tracker.appspot.com/o/modern%2FNSH.svg?alt=media
New England Revolution,NE,NE.svg,https://firebasestorage.googleapis.com/v0/b/season-ticket-tracker.appspot.com/o/modern%2FNE.svg?alt=media
New York City FC,NYC,NYC.svg,https://firebasestorage.googleapis.com/v0/b/season-ticket-tracker.appspot.com/o/modern%2FNYC.svg?alt=media
New York Red Bulls,NYR,NYR.svg,https://firebasestorage.googleapis.com/v0/b/season-ticket-tracker.appspot.com/o/modern%2FNYR.svg?alt=media
Orlando City SC,ORL,ORL.svg,https://firebasestorage.googleapis.com/v0/b/season-ticket-tracker.appspot.com/o/modern%2FORL.svg?alt=media
Philadelphia Union,PHI,PHI.svg,https://firebasestorage.googleapis.com/v0/b/season-ticket-tracker.appspot.com/o/modern%2FPHI.svg?alt=media
Portland Timbers,POR,POR.svg,https://firebasestorage.googleapis.com/v0/b/season-ticket-tracker.appspot.com/o/modern%2FPOR.svg?alt=media
Real Salt Lake,RSL,RSL.svg,https://firebasestorage.googleapis.com/v0/b/season-ticket-tracker.appspot.com/o/modern%2FRSL.svg?alt=media
San Diego FC,SD,SD.png,https://firebasestorage.googleapis.com/v0/b/season-ticket-tracker.appspot.com/o/modern%2FSD.png?alt=media
San Jose Earthquakes,SJ,SJ.svg,https://firebasestorage.googleapis.com/v0/b/season-ticket-tracker.appspot.com/o/modern%2FSJ.svg?alt=media
Seattle Sounders FC,SEA,SEA-2023.png,https://firebasestorage.googleapis.com/v0/b/season-ticket-tracker.appspot.com/o/modern%2FSEA-2023.png?alt=media
Sporting Kansas City,SKC,SKC.svg,https://firebasestorage.googleapis.com/v0/b/season-ticket-tracker.appspot.com/o/modern%2FSKC.svg?alt=media
St. Louis CITY SC,STL,STL.svg,https://firebasestorage.googleapis.com/v0/b/season-ticket-tracker.appspot.com/o/modern%2FSTL.svg?alt=media
Toronto FC,TOR,TOR.svg,https://firebasestorage.googleapis.com/v0/b/season-ticket-tracker.appspot.com/o/modern%2FTOR.svg?alt=media
Vancouver Whitecaps,VAN,VAN.svg,https://firebasestorage.googleapis.com/v0/b/season-ticket-tracker.appspot.com/o/modern%2FVAN.svg?alt=media
Antigua GFC,ANT,fallbacklogo-grey.png,https://firebasestorage.googleapis.com/v0/b/season-ticket-tracker.appspot.com/o/modern%2Ffallbacklogo-grey.png?alt=media
